"Model","R_squared","Adj_R_squared","AIC","BIC","N"
"M1: Controls",0.109557479694096,0.0523730976561015,2318.70169506082,2343.561260474,117
"M2: Linear PSD",0.113329441938471,0.0476501413413205,2320.20502408282,2347.8267634308,117
"M3: H1 (Inverted-U)",0.163047924078049,0.0926500859163901,2315.45334135259,2345.83725463537,117
"M4: H2 (Geographic)",0.185818438839479,0.0918744125517267,2318.22608090284,2356.89651599001,117
"M5: H3 (Network)",0.361100188353849,0.287380979317755,2289.86109973923,2328.5315348264,117
"M6: Full",0.362052219670492,0.267307499819576,2295.68662678664,2342.6435836782,117
