"participants","sic_primary","date_announced","date_terminated","business_description","participant_nation","alliance_deal_name","alliance_sic_code","alliance_nation","status","type","ownership_structure","deal_number","participant_country","continent","participants_original","country_iso","city","nace_code","entity_type","employees_last_value","total_assets_eur","total_assets_usd","n_companies_group","n_shareholders","n_subsidiaries","roa","rd_ratio","export_ratio","export_revenue","long_term_debt","is_guo","is_controlled_sub","size_classification","orbis_match_type","participants_std","assignee","total_applications","granted_patents","avg_ipc_scope","avg_team_size","grant_success_rate","total_ipc_mentions","tech_specialist_hhi","patent_match_type"
"Tekes","6726","2016-09-14",NA,"Business Development Company","Finland","TEKES/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE",8099,"Fiji","Completed/Signed","Strategic Alliance",NA,3010654045,"Finland","Europe","Tekes","FI","VALKEALA",2561,"Controlled subs.",8,119.491,129.36098479259,2,2,0,44.293,NA,NA,NA,80.245,0,1,"Small company","matched","TEKES",NA,0,0,0,0,0,0,0,"unmatched"
"IBM Corp","3571","2016-09-14",NA,"Manufacture computer products","United States","TEKES/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE",8099,"Fiji","Completed/Signed","Strategic Alliance",NA,3010654045,"United States","Americas","IBM Corp","US","ARMONK",6201,"GUO",293400,132038753.122375,137175000,804,3699,397,4.391,11.918,NA,NA,48016192.1688102,1,0,"Very large company","matched","IBM ","IBM CORPORATION",73,73,1.05479452054795,3.6986301369863,1,77,0.504469556417608,"exact"
"Hewlett Packard Enterprise Co","3571","2016-09-29",NA,"Manufactures electronic computers","United States","HEWLETT PACKARD ENTERPRISE CO/SHAPE SECURITY-STRATEGIC ALLIANCE",7373,"United States","Completed/Signed","Strategic Alliance",NA,3035371045,"United States","Americas","Hewlett Packard Enterprise Co",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","HEWLETT PACKARD ENTERPRISE ","HEWLETT PACKARD ENTERPRISE COMPANY",2,2,1,2,1,2,1,"exact"
"Shape Security Inc","7372","2016-09-29",NA,"Develop mobile apps software","United States","HEWLETT PACKARD ENTERPRISE CO/SHAPE SECURITY-STRATEGIC ALLIANCE",7373,"United States","Completed/Signed","Strategic Alliance",NA,3035371045,"United States","Americas","Shape Security Inc","US","WILMINGTON",2620,"Controlled subs.",NA,37219.0586779866,42757.233,44,1,1,-72.959,NA,NA,NA,-24889.9760193624,0,1,"Large company","matched","SHAPE SECURITY","SHAPE SECURITY, INC.",115,116,1.71551724137931,2.54310344827586,1.00869565217391,199,0.500315648594732,"exact"
"IBM Corp","3571","2016-10-13",NA,"Manufacture computer products","United States","INTERNATIONAL BUSINESS/LOS ANGELES FOOTBALL CLUB-STRATEGIC ALLIANCE",7373,"United States","Completed/Signed","Strategic Alliance",NA,3019019045,"United States","Americas","IBM Corp","US","ARMONK",6201,"GUO",293400,132038753.122375,137175000,804,3699,397,4.391,11.918,NA,NA,48016192.1688102,1,0,"Very large company","matched","IBM ","IBM CORPORATION",73,73,1.05479452054795,3.6986301369863,1,77,0.504469556417608,"exact"
"Los Angeles Football Club","7941","2016-10-13",NA,"Sports Teams and Clubs","United States","INTERNATIONAL BUSINESS/LOS ANGELES FOOTBALL CLUB-STRATEGIC ALLIANCE",7373,"United States","Completed/Signed","Strategic Alliance",NA,3019019045,"United States","Americas","Los Angeles Football Club","US","LOS ANGELES",9312,"Single location",3,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,"Medium sized company","matched","LOS ANGELES FOOTBALL CLUB",NA,0,0,0,0,0,0,0,"unmatched"
"IBM Corp","3571","2016-10-19",NA,"Manufacture computer products","United States","INTERNATIONAL BUSINESS/INDIAN ANGEL NETWORK SERVICES-STRATEGIC ALLIANCE",7373,"India","Completed/Signed","Strategic Alliance",NA,3033368045,"United States","Americas","IBM Corp","US","ARMONK",6201,"GUO",293400,132038753.122375,137175000,804,3699,397,4.391,11.918,NA,NA,48016192.1688102,1,0,"Very large company","matched","IBM ","IBM CORPORATION",73,73,1.05479452054795,3.6986301369863,1,77,0.504469556417608,"exact"
"Indian Angel Net Servc Pvt Ltd","6799","2016-10-19",NA,"Venture capital firm","India","INTERNATIONAL BUSINESS/INDIAN ANGEL NETWORK SERVICES-STRATEGIC ALLIANCE",7373,"India","Completed/Signed","Strategic Alliance",NA,3033368045,"India","Asia","Indian Angel Net Servc Pvt Ltd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","INDIAN ANGEL NET SERVC PVT",NA,0,0,0,0,0,0,0,"unmatched"
"Fitbit Inc","3571","2016-11-01",NA,"Manufactures fitness activity products","United States","FITBIT INC/VIRGIN PULSE INC-STRATEGIC ALLIANCE",8099,"United States","Completed/Signed","Strategic Alliance",NA,3030812045,"United States","Americas","Fitbit Inc","US","WILMINGTON",2651,"Controlled subs.",1684,1217808.59725623,1368086,605,3,8,-23.442,20.934,NA,NA,0,0,1,"Very large company","matched","FITBIT","FITBIT, LLC",509,510,1.42745098039216,4.42745098039216,1.00196463654224,728,0.340093285835044,"exact"
"Virgin Pulse Inc","7372","2016-11-01",NA,"Software Publishers","United States","FITBIT INC/VIRGIN PULSE INC-STRATEGIC ALLIANCE",8099,"United States","Completed/Signed","Strategic Alliance",NA,3030812045,"United States","Americas","Virgin Pulse Inc","US","PROVIDENCE",6201,"GUO",840,NA,NA,5,0,4,NA,NA,NA,NA,NA,1,0,"Very large company","matched","VIRGIN PULSE",NA,0,0,0,0,0,0,0,"unmatched"
"Medtronic PLC","3845","2016-12-07",NA,"Manufactures and wholesales medical and surgical devices","Ireland-Rep","MEDTRONIC PLC/FITBIT INC-STRATEGIC ALLIANCE",8099,"United States","Completed/Signed","Strategic Alliance",NA,3046706045,"Ireland-Rep","Europe","Medtronic PLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","MEDTRONIC","MEDTRONIC, INC.",7137,7144,1.13983762597984,3.40831466965286,1.00098080425949,8143,0.630520388133343,"exact"
"Fitbit Inc","3571","2016-12-07",NA,"Manufactures fitness activity products","United States","MEDTRONIC PLC/FITBIT INC-STRATEGIC ALLIANCE",8099,"United States","Completed/Signed","Strategic Alliance",NA,3046706045,"United States","Americas","Fitbit Inc","US","WILMINGTON",2651,"Controlled subs.",1684,1217808.59725623,1368086,605,3,8,-23.442,20.934,NA,NA,0,0,1,"Very large company","matched","FITBIT","FITBIT, LLC",509,510,1.42745098039216,4.42745098039216,1.00196463654224,728,0.340093285835044,"exact"
"ResponseTek Networks Corp","7372","2016-12-13",NA,"Develop software","United States","RESPONSETEK NETWORKS CORP/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE",7372,"United States","Completed/Signed","Strategic Alliance",NA,3048888045,"United States","Americas","ResponseTek Networks Corp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","RESPONSETEK NETWORKS ",NA,0,0,0,0,0,0,0,"unmatched"
"IBM Corp","3571","2016-12-13",NA,"Manufacture computer products","United States","RESPONSETEK NETWORKS CORP/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE",7372,"United States","Completed/Signed","Strategic Alliance",NA,3048888045,"United States","Americas","IBM Corp","US","ARMONK",6201,"GUO",293400,132038753.122375,137175000,804,3699,397,4.391,11.918,NA,NA,48016192.1688102,1,0,"Very large company","matched","IBM ","IBM CORPORATION",73,73,1.05479452054795,3.6986301369863,1,77,0.504469556417608,"exact"
"InterDigital Inc","3663","2016-12-15",NA,"Manufacture wireless radio systems","United States","INTERDIGITAL INC PA/APPLE INC-STRATEGIC ALLIANCE",4899,"United States","Completed/Signed","Strategic Alliance",NA,3050392045,"United States","Americas","InterDigital Inc","US","WILMINGTON",8299,"GUO",430,1766801.24279176,1835529,43,163,39,19.537,15.061,NA,NA,14864.7673735654,1,0,"Very large company","matched","INTERDIGITAL",NA,0,0,0,0,0,0,0,"unmatched"
"Apple Inc","3571","2016-12-15",NA,"Electronic Computer Manufacturing","United States","INTERDIGITAL INC PA/APPLE INC-STRATEGIC ALLIANCE",4899,"United States","Completed/Signed","Strategic Alliance",NA,3050392045,"United States","Americas","Apple Inc","US","CUPERTINO",2620,"GUO",164000,305971309.417227,359241000,130,5957,81,31.18,8.302,NA,NA,66713211.2538172,1,0,"Very large company","matched","APPLE","APPLE INC.",35464,35595,1.13906447534766,4.90189633375474,1.0036938867584,40544,0.427966942401026,"exact"
"IBM Corp","3571","2017-01-12",NA,"Manufacture computer products","United States","INTERNATIONAL BUSINESS/SOCIETE DES AUTEURS ET COMPOSITEURS DRAMATIQUES~SC-STRATEGIC ALLIANCE",7375,"France","Completed/Signed","Strategic Alliance",NA,3060188045,"United States","Americas","IBM Corp","US","ARMONK",6201,"GUO",293400,132038753.122375,137175000,804,3699,397,4.391,11.918,NA,NA,48016192.1688102,1,0,"Very large company","matched","IBM ","IBM CORPORATION",73,73,1.05479452054795,3.6986301369863,1,77,0.504469556417608,"exact"
"SACEM","7929","2017-01-12",NA,"Musical Groups and Artists","France","INTERNATIONAL BUSINESS/SOCIETE DES AUTEURS ET COMPOSITEURS DRAMATIQUES~SC-STRATEGIC ALLIANCE",7375,"France","Completed/Signed","Strategic Alliance",NA,3060188045,"France","Europe","SACEM","FR","CIVRIEUX",2511,"Controlled subs.",NA,1444.742,1500.94180052066,11,2,0,-8.637,NA,1.686,39.507,0,0,1,"Medium sized company","matched","SACEM",NA,0,0,0,0,0,0,0,"unmatched"
"Volanti Displays Inc","3577","2017-03-08",NA,"Other Computer Peripheral Equipment Manufacturing","United States","VOLANTI DISPLAYS INC/HP INC-STRATEGIC ALLIANCE",3577,"United States","Completed/Signed","Strategic Alliance",NA,3084382045,"United States","Americas","Volanti Displays Inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","VOLANTI DISPLAYS",NA,0,0,0,0,0,0,0,"unmatched"
"HP Inc","3571","2017-03-08",NA,"Electronic Computer Manufacturing","United States","VOLANTI DISPLAYS INC/HP INC-STRATEGIC ALLIANCE",3577,"United States","Completed/Signed","Strategic Alliance",NA,3084382045,"United States","Americas","HP Inc","US","PALO ALTO",2620,"GUO",58000,36151111.5848942,41769000,540,1355,445,6.055,2.897,NA,NA,7634584.38771222,1,0,"Very large company","matched","HP","HP INC.",1,1,1,1,1,1,1,"exact"
"Ingram Micro NZ - Connector","5045","2017-04-20",NA,"Computer and Computer Peripheral Equipment and Software Merchant Wholesalers","New Zealand","INGRAM MICRO NZ LTD - CONNECTOR SYSTEMS HOLDING LTD/LANTRONIX INC-STRATEGIC~ALLIANCE",5099,"New Zealand","Completed/Signed","Strategic Alliance",NA,3096607045,"New Zealand","Oceania","Ingram Micro NZ - Connector",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","INGRAM MICRO NZ - CONNECTOR",NA,0,0,0,0,0,0,0,"unmatched"
"Lantronix Inc","3571","2017-04-20",NA,"Manufactures network device servers","United States","INGRAM MICRO NZ LTD - CONNECTOR SYSTEMS HOLDING LTD/LANTRONIX INC-STRATEGIC~ALLIANCE",5099,"New Zealand","Completed/Signed","Strategic Alliance",NA,3096607045,"United States","Americas","Lantronix Inc","US","FELTON",2630,"GUO",351,105564.809651311,123722,23,86,14,-9.192,15.129,NA,NA,7439.41720429495,1,0,"Very large company","matched","LANTRONIX","LANTRONIX, INC.",43,43,1.30232558139535,1.48837209302326,1,56,0.510204081632653,"exact"
"Also Holding AG","5045","2017-04-26",NA,"Computer and Computer Peripheral Equipment and Software Merchant Wholesalers","Switzerland","ALSO HOLDING AG/HP INC-STRATEGIC ALLIANCE",3577,"Supranational","Completed/Signed","Strategic Alliance",NA,3097917045,"Switzerland","Europe","Also Holding AG","CH","EMMEN",4651,"Controlled subs.",4229,3476574,3611811.13250899,175,26,79,3.309,0,NA,NA,114411,0,1,"Very large company","matched","ALSO HOLDING",NA,0,0,0,0,0,0,0,"unmatched"
"HP Inc","3571","2017-04-26",NA,"Electronic Computer Manufacturing","United States","ALSO HOLDING AG/HP INC-STRATEGIC ALLIANCE",3577,"Supranational","Completed/Signed","Strategic Alliance",NA,3097917045,"United States","Americas","HP Inc","US","PALO ALTO",2620,"GUO",58000,36151111.5848942,41769000,540,1355,445,6.055,2.897,NA,NA,7634584.38771222,1,0,"Very large company","matched","HP","HP INC.",1,1,1,1,1,1,1,"exact"
"Bombardier Inc","3721","2017-05-16",NA,"Manufactures aircraft, railroad equipment, rail vehicles and total transit systems","Canada","BOMBARDIER INC/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE",7372,"Canada","Completed/Signed","Strategic Alliance",NA,3104648045,"Canada","Americas","Bombardier Inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","BOMBARDIER","BOMBARDIER INC.",429,429,1.23543123543124,2.77389277389277,1,530,0.322904948380206,"exact"
"IBM Corp","3571","2017-05-16",NA,"Manufacture computer products","United States","BOMBARDIER INC/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE",7372,"Canada","Completed/Signed","Strategic Alliance",NA,3104648045,"United States","Americas","IBM Corp","US","ARMONK",6201,"GUO",293400,132038753.122375,137175000,804,3699,397,4.391,11.918,NA,NA,48016192.1688102,1,0,"Very large company","matched","IBM ","IBM CORPORATION",73,73,1.05479452054795,3.6986301369863,1,77,0.504469556417608,"exact"
"Ariba Inc","7372","2017-05-17",NA,"Software Reproducing","United States","ARIBA INC/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE",7372,"Supranational","Completed/Signed","Strategic Alliance",NA,3106658045,"United States","Americas","Ariba Inc","AU",NA,6202,"Single location",NA,528801.939061073,721709,0,0,0,2.27,NA,NA,NA,NA,0,0,"Very large company","matched","ARIBA","ARIBA, INC.",80,80,1.05,4.3875,1,84,0.888038548752834,"exact"
"IBM Corp","3571","2017-05-17",NA,"Manufacture computer products","United States","ARIBA INC/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE",7372,"Supranational","Completed/Signed","Strategic Alliance",NA,3106658045,"United States","Americas","IBM Corp","US","ARMONK",6201,"GUO",293400,132038753.122375,137175000,804,3699,397,4.391,11.918,NA,NA,48016192.1688102,1,0,"Very large company","matched","IBM ","IBM CORPORATION",73,73,1.05479452054795,3.6986301369863,1,77,0.504469556417608,"exact"
"Veeam Software AG (Now 9J7839)","7372","2017-05-17",NA,"Dvlp server mgmt software","Switzerland","VEEAM SOFTWARE AG/LENOVO GROUP LTD/INTERNATIONAL BUSINESS/INFINIDAT~INC-STRATEGIC ALLIANCE",7371,"Switzerland","Completed/Signed","Strategic Alliance",NA,3109471045,"Switzerland","Europe","Veeam Software AG (Now 9J7839)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","VEEAM SOFTWARE(NOW 9J7839)",NA,0,0,0,0,0,0,0,"unmatched"
"Lenovo Group Ltd","3571","2017-05-17",NA,"Mnfr,wholesale computer prod","Hong Kong","VEEAM SOFTWARE AG/LENOVO GROUP LTD/INTERNATIONAL BUSINESS/INFINIDAT~INC-STRATEGIC ALLIANCE",7371,"Switzerland","Completed/Signed","Strategic Alliance",NA,3109471045,"Hong Kong","Asia","Lenovo Group Ltd","HK",NA,NA,"Independent co",NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,0,0,"Small company","matched","LENOVO GROUP",NA,0,0,0,0,0,0,0,"unmatched"
"IBM Corp","3571","2017-05-17",NA,"Manufacture computer products","United States","VEEAM SOFTWARE AG/LENOVO GROUP LTD/INTERNATIONAL BUSINESS/INFINIDAT~INC-STRATEGIC ALLIANCE",7371,"Switzerland","Completed/Signed","Strategic Alliance",NA,3109471045,"United States","Americas","IBM Corp","US","ARMONK",6201,"GUO",293400,132038753.122375,137175000,804,3699,397,4.391,11.918,NA,NA,48016192.1688102,1,0,"Very large company","matched","IBM ","IBM CORPORATION",73,73,1.05479452054795,3.6986301369863,1,77,0.504469556417608,"exact"
"Infinidat Inc","3572","2017-05-17",NA,"Computer Storage Device Manufacturing","United States","VEEAM SOFTWARE AG/LENOVO GROUP LTD/INTERNATIONAL BUSINESS/INFINIDAT~INC-STRATEGIC ALLIANCE",7371,"Switzerland","Completed/Signed","Strategic Alliance",NA,3109471045,"United States","Americas","Infinidat Inc","US","WALTHAM",2823,"Independent co",200,NA,NA,0,6,0,NA,NA,NA,NA,NA,0,0,"Very large company","matched","INFINIDAT","INFINIDAT LTD.",92,92,1.03260869565217,2.25,1,95,0.863490304709141,"exact"
"Nokia Oyj","3663","2017-05-23",NA,"Mnfr network infrastructure products","Finland","NOKIA OYJ/APPLE INC-STRATEGIC ALLIANCE",6794,"United States~Finland","Completed/Signed","Strategic Alliance",NA,3167719045,"Finland","Europe","Nokia Oyj","FI","ESPOO",2630,"GUO",80361,39149000,40671878.1267405,497,180,308,3.262,22.136,NA,NA,3582000,1,0,"Very large company","matched","NOKIA OYJ","NOKIA OYJ",5,5,1,2.6,1,5,0.52,"exact"
"Apple Inc","3571","2017-05-23",NA,"Electronic Computer Manufacturing","United States","NOKIA OYJ/APPLE INC-STRATEGIC ALLIANCE",6794,"United States~Finland","Completed/Signed","Strategic Alliance",NA,3167719045,"United States","Americas","Apple Inc","US","CUPERTINO",2620,"GUO",164000,305971309.417227,359241000,130,5957,81,31.18,8.302,NA,NA,66713211.2538172,1,0,"Very large company","matched","APPLE","APPLE INC.",35464,35595,1.13906447534766,4.90189633375474,1.0036938867584,40544,0.427966942401026,"exact"
"Salesforce.com Inc","7372","2017-05-24",NA,"Provides software integrated services","United States","SALESFORCE.COM INC/DELL TECHNOLOGIES INC-STRATEGIC ALLIANCE",5099,"United States","Completed/Signed","Strategic Alliance",NA,3108013045,"United States","Americas","Salesforce.com Inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","SALESFORCE.COM","SALESFORCE.COM, INC.",3153,3157,1.25213810579664,3.24200190053849,1.00126863304789,3953,0.586741864261511,"exact"
"Dell Technologies Inc","3571","2017-05-24",NA,"Manufactures electronic computers","United States","SALESFORCE.COM INC/DELL TECHNOLOGIES INC-STRATEGIC ALLIANCE",5099,"United States","Completed/Signed","Strategic Alliance",NA,3108013045,"United States","Americas","Dell Technologies Inc","US","ROUND ROCK",2620,"Controlled subs.",108000,76730485.4670319,79746000,715,1625,402,5.758,3.078,NA,NA,18630807.6906445,0,1,"Very large company","matched","DELL TECHNOLOGY",NA,0,0,0,0,0,0,0,"unmatched"
"Infosys Ltd","7371","2017-05-25",NA,"Provides information technology and consulting services","India","INFOSYS LTD/HP INC-STRATEGIC ALLIANCE",7371,"Supranational","Completed/Signed","Strategic Alliance",NA,3107898045,"India","Asia","Infosys Ltd","IN","BANGALORE",6201,"GUO",NA,16087836.9345786,17398990.7504711,179,134,181,17.94,0,NA,NA,623620.711378467,1,0,"Very large company","matched","INFOSYS","INFOSYS LIMITED",370,372,1.21236559139785,3.02956989247312,1.00540540540541,451,0.602607656796181,"exact"
"HP Inc","3571","2017-05-25",NA,"Electronic Computer Manufacturing","United States","INFOSYS LTD/HP INC-STRATEGIC ALLIANCE",7371,"Supranational","Completed/Signed","Strategic Alliance",NA,3107898045,"United States","Americas","HP Inc","US","PALO ALTO",2620,"GUO",58000,36151111.5848942,41769000,540,1355,445,6.055,2.897,NA,NA,7634584.38771222,1,0,"Very large company","matched","HP","HP INC.",1,1,1,1,1,1,1,"exact"
"Leidos Inc","7389","2017-06-07",NA,"All Other Professional, Scientific, and Technical Services","United States","SCIENCE APPLICATIONS INTERNATIONAL CORP{SAIC INC}/CRAY INC-STRATEGIC~ALLIANCE",7373,"United States","Completed/Signed","Strategic Alliance",NA,3378715045,"United States","Americas","Leidos Inc","US","WEBSTER",6201,"Branch location",63,NA,NA,295,1,0,NA,NA,NA,NA,NA,0,0,"Large company","matched","LEIDOS","LEIDOS, INC.",121,122,1.47540983606557,2.89344262295082,1.00826446280992,180,0.222962962962963,"exact"
"Cray Inc","3571","2017-06-07",NA,"Manufactures and wholesales computer systems and supercomputers","United States","SCIENCE APPLICATIONS INTERNATIONAL CORP{SAIC INC}/CRAY INC-STRATEGIC~ALLIANCE",7373,"United States","Completed/Signed","Strategic Alliance",NA,3378715045,"United States","Americas","Cray Inc","US","SEATTLE",2620,"Controlled subs.",1287,451643.440536198,517132,377,1,23,-13.861,25.26,NA,NA,0,0,1,"Very large company","matched","CRAY","CRAY HK LIMITED",1,1,2,5,1,2,0.5,"exact"
"Cray Inc","3571","2017-06-07",NA,"Manufactures and wholesales computer systems and supercomputers","United States","SCIENCE APPLICATIONS INTERNATIONAL CORP{SAIC INC}/CRAY INC-STRATEGIC~ALLIANCE",7373,"United States","Completed/Signed","Strategic Alliance",NA,3378715045,"United States","Americas","Cray Inc","US","SEATTLE",2620,"Controlled subs.",1287,451643.440536198,517132,377,1,23,-13.861,25.26,NA,NA,0,0,1,"Very large company","matched","CRAY","CRAY INC.",208,208,1.11057692307692,2.90384615384615,1,231,0.476808905380334,"exact"
"Concurrent Computer Corp","8711","2017-06-13",NA,"Design, mnfr, whl computers","United States","CONCURRENT COMPUTER CORP/HEWLETT PACKARD ENTERPRISE CO-STRATEGIC ALLIANCE",7372,"United States","Completed/Signed","Strategic Alliance",NA,3140980045,"United States","Americas","Concurrent Computer Corp","US","DULUTH",2620,"GUO",6,62377.2383608811,69850,11,1,11,17.509,NA,NA,NA,0,1,0,"Very large company","matched","CONCURRENT COMPUTER ","CONCURRENT COMPUTER CORPORATION",14,14,1.5,2.28571428571429,1,21,0.555555555555556,"exact"
"Hewlett Packard Enterprise Co","3571","2017-06-13",NA,"Manufactures electronic computers","United States","CONCURRENT COMPUTER CORP/HEWLETT PACKARD ENTERPRISE CO-STRATEGIC ALLIANCE",7372,"United States","Completed/Signed","Strategic Alliance",NA,3140980045,"United States","Americas","Hewlett Packard Enterprise Co",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","HEWLETT PACKARD ENTERPRISE ","HEWLETT PACKARD ENTERPRISE COMPANY",2,2,1,2,1,2,1,"exact"
"Finastra NV","6289","2017-06-15",NA,"Miscellaneous Financial Investment Activities","United Kingdom","FINASTRA NV/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE",6000,"United States","Completed/Signed","Strategic Alliance",NA,3141386045,"United Kingdom","Europe","Finastra NV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","FINASTRA",NA,0,0,0,0,0,0,0,"unmatched"
"IBM Corp","3571","2017-06-15",NA,"Manufacture computer products","United States","FINASTRA NV/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE",6000,"United States","Completed/Signed","Strategic Alliance",NA,3141386045,"United States","Americas","IBM Corp","US","ARMONK",6201,"GUO",293400,132038753.122375,137175000,804,3699,397,4.391,11.918,NA,NA,48016192.1688102,1,0,"Very large company","matched","IBM ","IBM CORPORATION",73,73,1.05479452054795,3.6986301369863,1,77,0.504469556417608,"exact"
"HP Inc","3571","2017-06-27",NA,"Electronic Computer Manufacturing","United States","HP INC/LINGO MEDIA CORP-STRATEGIC ALLIANCE",8742,"Supranational","Completed/Signed","Strategic Alliance",NA,3122724045,"United States","Americas","HP Inc","US","PALO ALTO",2620,"GUO",58000,36151111.5848942,41769000,540,1355,445,6.055,2.897,NA,NA,7634584.38771222,1,0,"Very large company","matched","HP","HP INC.",1,1,1,1,1,1,1,"exact"
"Lingo Media Corp","8299","2017-06-27",NA,"Pvd online education services","Canada","HP INC/LINGO MEDIA CORP-STRATEGIC ALLIANCE",8742,"Supranational","Completed/Signed","Strategic Alliance",NA,3122724045,"Canada","Americas","Lingo Media Corp","CA","TORONTO",5811,"GUO",NA,2573.5170437001,2673.62567520142,6,3,5,-1.614,0,NA,NA,NA,1,0,"Very large company","matched","LINGO MEDIA ",NA,0,0,0,0,0,0,0,"unmatched"
"Evonik Degussa Antwerpen NV","4911","2017-07-06",NA,"Own,operate power plants","Belgium","EVONIK DEGUSSA ANTWERPEN NV/INTERNATIONAL BUSINESS/UNIVERSITAT DUISBURG~ESSEN-STRATEGIC ALLIANCE",7373,"Supranational","Completed/Signed","Strategic Alliance",NA,3125273045,"Belgium","Europe","Evonik Degussa Antwerpen NV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","EVONIK DEGUSSA ANTWERPEN",NA,0,0,0,0,0,0,0,"unmatched"
"IBM Corp","3571","2017-07-06",NA,"Manufacture computer products","United States","EVONIK DEGUSSA ANTWERPEN NV/INTERNATIONAL BUSINESS/UNIVERSITAT DUISBURG~ESSEN-STRATEGIC ALLIANCE",7373,"Supranational","Completed/Signed","Strategic Alliance",NA,3125273045,"United States","Americas","IBM Corp","US","ARMONK",6201,"GUO",293400,132038753.122375,137175000,804,3699,397,4.391,11.918,NA,NA,48016192.1688102,1,0,"Very large company","matched","IBM ","IBM CORPORATION",73,73,1.05479452054795,3.6986301369863,1,77,0.504469556417608,"exact"
"Universitat Duisburg Essen","8221","2017-07-06",NA,"Own,op college,university","Germany","EVONIK DEGUSSA ANTWERPEN NV/INTERNATIONAL BUSINESS/UNIVERSITAT DUISBURG~ESSEN-STRATEGIC ALLIANCE",7373,"Supranational","Completed/Signed","Strategic Alliance",NA,3125273045,"Germany","Europe","Universitat Duisburg Essen","DE","ESSEN",8541,"Independent co",NA,NA,NA,0,0,5,NA,NA,NA,NA,NA,0,0,"Small company","matched","UNIVERSITAT DUISBURG ESSEN",NA,0,0,0,0,0,0,0,"unmatched"
"Segmint Inc","8742","2017-07-11",NA,"Provides marketing consulting services","United States","SEGMINT INC/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE",7373,"United States","Completed/Signed","Strategic Alliance",NA,3127126045,"United States","Americas","Segmint Inc","US","AKRON",6201,"Controlled subs.",6,NA,NA,7,2,0,NA,NA,NA,NA,NA,0,1,"Small company","matched","SEGMINT","SEGMINT INC.",13,13,1,2.46153846153846,1,13,1,"exact"
"IBM Corp","3571","2017-07-11",NA,"Manufacture computer products","United States","SEGMINT INC/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE",7373,"United States","Completed/Signed","Strategic Alliance",NA,3127126045,"United States","Americas","IBM Corp","US","ARMONK",6201,"GUO",293400,132038753.122375,137175000,804,3699,397,4.391,11.918,NA,NA,48016192.1688102,1,0,"Very large company","matched","IBM ","IBM CORPORATION",73,73,1.05479452054795,3.6986301369863,1,77,0.504469556417608,"exact"
"Hewlett Packard Enterprise Co","3571","2017-07-25",NA,"Manufactures electronic computers","United States","HEWLETT PACKARD ENTERPRISE CO/CYBERINC-STRATEGIC ALLIANCE",7373,"Supranational","Completed/Signed","Strategic Alliance",NA,3132463045,"United States","Americas","Hewlett Packard Enterprise Co",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unmatched","HEWLETT PACKARD ENTERPRISE ","HEWLETT PACKARD ENTERPRISE COMPANY",2,2,1,2,1,2,1,"exact"
