"participants","sic_primary","date_announced","date_terminated","business_description","participant_nation","alliance_deal_name","alliance_sic_code","alliance_nation","status","type","ownership_structure","deal_number","participant_country","continent"
"IBM Corp","3571","2011-09-12","","Manufacture computer products","United States","WELLPOINT INC/INTERNATIONAL BUSINESS MACHINES CORP{IBM}-STRATEGIC ALLIANCE","7372","United States","Completed/Signed","Strategic Alliance",NA,2344057045,"United States","Americas"
"IBM Corp","3571","2011-11-11","","Manufacture computer products","United States","INTERNATIONAL BUSINESS MACHINES CORP/SUNING APPLIANCE CO LTD-STRATEGIC~ALLIANCE","7375","United States~China","Completed/Signed","Strategic Alliance",NA,2361784045,"United States","Americas"
"Suning Appliance Co Ltd","5722","2011-11-11","","Ret home appliances","China","INTERNATIONAL BUSINESS MACHINES CORP/SUNING APPLIANCE CO LTD-STRATEGIC~ALLIANCE","7375","United States~China","Completed/Signed","Strategic Alliance",NA,2361784045,"China","Asia"
"IBM Corp","3571","2012-03-30","","Manufacture computer products","United States","INTERNATIONAL BUSINESS MACHINES {IBM}/RICE UNIVERSITY-STRATEGIC ALLIANCE","7376","United States","Completed/Signed","Strategic Alliance",NA,2425847045,"United States","Americas"
"Rice University","8221","2012-03-30","","University","United States","INTERNATIONAL BUSINESS MACHINES {IBM}/RICE UNIVERSITY-STRATEGIC ALLIANCE","7376","United States","Completed/Signed","Strategic Alliance",NA,2425847045,"United States","Americas"
"IBM Corp","3571","2012-08-31","","Manufacture computer products","United States","INTERNATIONAL BUSINESS MACHINE{IBM}/VODAFONE GROUPL PLC-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2446572045,"United States","Americas"
"Vodafone Group Plc","4899","2012-08-31","","Provide wireless telecommunication services","United Kingdom","INTERNATIONAL BUSINESS MACHINE{IBM}/VODAFONE GROUPL PLC-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2446572045,"United Kingdom","Europe"
"Dell Inc","3571","2012-09-10","","Manufacture,wholesale computer","United States","DELL INC/RAMCO SYSTEMS LTD-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2448909045,"United States","Americas"
"Ramco Systems Ltd","7372","2012-09-10","","Dvlp bus intelligence software","India","DELL INC/RAMCO SYSTEMS LTD-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2448909045,"India","Asia"
"China Comservice Jiangsu Corp","4813","2012-09-17","","Pvd telecommunication svcs","China","CHINA COMSERVICE JIANGSU CORP/INROOM BROADCASTING NETWORK LLC-STRATEGIC~ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2454551045,"China","Asia"
"InRoom Broadcasting Network","3571","2012-09-17","","Pvd digital content svcs","United States","CHINA COMSERVICE JIANGSU CORP/INROOM BROADCASTING NETWORK LLC-STRATEGIC~ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2454551045,"United States","Americas"
"Etihad Etisalat Co SJSC","4812","2012-09-19","","Provide wireless telecommunications services","Saudi Arabia","ETIHAD ETISALAT CO/INTERNATIONAL BUSINESS MACHINES CORP{IBM}-STRATEGIC~ALLIANCE","7382","Saudi Arabia","Completed/Signed","Strategic Alliance",NA,2451959045,"Saudi Arabia","Asia"
"IBM Corp","3571","2012-09-19","","Manufacture computer products","United States","ETIHAD ETISALAT CO/INTERNATIONAL BUSINESS MACHINES CORP{IBM}-STRATEGIC~ALLIANCE","7382","Saudi Arabia","Completed/Signed","Strategic Alliance",NA,2451959045,"United States","Americas"
"Humana Inc","6324","2013-01-05","","Provides health plan administration services","United States","HUMANA INC/FITBIT INC-STRATEGIC ALLIANCE","7372","United States","Completed/Signed","Strategic Alliance",NA,3343035045,"United States","Americas"
"Fitbit Inc","3571","2013-01-05","","Electronic Computer Manufacturing","United States","HUMANA INC/FITBIT INC-STRATEGIC ALLIANCE","7372","United States","Completed/Signed","Strategic Alliance",NA,3343035045,"United States","Americas"
"Agilysys Inc","7376","2013-01-08","","Pvd information tech svcs","United States","AGILYSYS INC/MOTION COMPUTING INC-STRATEGIC ALLIANCE","7372","United States","Completed/Signed","Strategic Alliance",NA,2485113045,"United States","Americas"
"Motion Computing Inc","3571","2013-01-08","","Mnfr computers","United States","AGILYSYS INC/MOTION COMPUTING INC-STRATEGIC ALLIANCE","7372","United States","Completed/Signed","Strategic Alliance",NA,2485113045,"United States","Americas"
"Grupo Financiero Banorte SAB","6000","2013-03-12","","Pvd commercial banking svcs","Mexico","GRUPO FINANCIERO BANORTE SAB DE CV/INTERNATIONAL BUSINESS MACHINES CORP~{IBM}-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2504378045,"Mexico","Americas"
"IBM Corp","3571","2013-03-12","","Manufacture computer products","United States","GRUPO FINANCIERO BANORTE SAB DE CV/INTERNATIONAL BUSINESS MACHINES CORP~{IBM}-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2504378045,"United States","Americas"
"Compuware Corp","7372","2013-03-12","","Develop application software","United States","COMPUWARE CORP/INTERNATIONAL BUSINESS MACHINES CORP{IBM}-STRATEGIC~ALLIANCE","7372","United States","Completed/Signed","Strategic Alliance",NA,2504092045,"United States","Americas"
"IBM Corp","3571","2013-03-12","","Manufacture computer products","United States","COMPUWARE CORP/INTERNATIONAL BUSINESS MACHINES CORP{IBM}-STRATEGIC~ALLIANCE","7372","United States","Completed/Signed","Strategic Alliance",NA,2504092045,"United States","Americas"
"Dell Inc","3571","2013-06-04","","Manufacture,wholesale computer","United States","DELL INC/ORACLE CORP-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2527721045,"United States","Americas"
"Oracle Corp","7372","2013-06-04","","Develop enterprise software","United States","DELL INC/ORACLE CORP-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2527721045,"United States","Americas"
"Rogue Wave Software Inc","7372","2013-07-17","","Dvlp object-oriented software","United States","ROGUE WAVE SOFTWARE INC/CRAY INC-STRATEGIC ALLIANCE","5045","Supranational","Completed/Signed","Strategic Alliance",NA,2590373045,"United States","Americas"
"Cray Inc","3571","2013-07-17","","Manufactures and wholesales computer systems and supercomputers","United States","ROGUE WAVE SOFTWARE INC/CRAY INC-STRATEGIC ALLIANCE","5045","Supranational","Completed/Signed","Strategic Alliance",NA,2590373045,"United States","Americas"
"Hewlett Packard Co","3571","2013-07-22","","Mnfr,whl computer equipment","United States","HEWLETT-PACKARD CO/LIQVID ELEARNING SERVICES PVT LTD-STRATEGIC ALLIANCE","7375","India","Completed/Signed","Strategic Alliance",NA,2589974045,"United States","Americas"
"Liqvid eLearning","7375","2013-07-22","","Internet Service Providers","India","HEWLETT-PACKARD CO/LIQVID ELEARNING SERVICES PVT LTD-STRATEGIC ALLIANCE","7375","India","Completed/Signed","Strategic Alliance",NA,2589974045,"India","Asia"
"Bank of the Philippine Islands","6000","2013-08-02","","Bank","Philippines","BANK OF THE PHILIPPINE ISLANDS{BPI}/INTERNATIONAL BUSINESS MACHINES~CORP{IBM}-STRATEGIC ALLIANCE","7371","Philippines","Completed/Signed","Strategic Alliance",NA,2552885045,"Philippines","Asia"
"IBM Corp","3571","2013-08-02","","Manufacture computer products","United States","BANK OF THE PHILIPPINE ISLANDS{BPI}/INTERNATIONAL BUSINESS MACHINES~CORP{IBM}-STRATEGIC ALLIANCE","7371","Philippines","Completed/Signed","Strategic Alliance",NA,2552885045,"United States","Americas"
"LiquidCool Solutions Inc","7373","2013-08-29","","Computer Systems Design Services","United States","LIQUIDCOOL SOLUTIONS INC/ DEDICATED COMPUTING LLC-STRATEGIC ALLIANCE","3679","Supranational","Completed/Signed","Strategic Alliance",NA,2564095045,"United States","Americas"
"Dedicated Computing LLC","3571","2013-08-29","","Manufacture computers","United States","LIQUIDCOOL SOLUTIONS INC/ DEDICATED COMPUTING LLC-STRATEGIC ALLIANCE","3679","Supranational","Completed/Signed","Strategic Alliance",NA,2564095045,"United States","Americas"
"Monitise PLC","7372","2013-09-04","","Provide mobile banking software development services","United Kingdom","MONITISE PLC/INTERNATIONAL BUSINESS MACHINES CORP{IBM}-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2564337045,"United Kingdom","Europe"
"IBM Corp","3571","2013-09-04","","Manufacture computer products","United States","MONITISE PLC/INTERNATIONAL BUSINESS MACHINES CORP{IBM}-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2564337045,"United States","Americas"
"IBM Corp","3571","2013-09-10","","Manufacture computer products","United States","INTERNATIONAL BUSINESS MACHINES CORP{IBM}/CONTINENTAL AG-STRATEGIC~ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2565111045,"United States","Americas"
"Continental AG","3714","2013-09-10","","Manufactures and wholesales automotive components","Germany","INTERNATIONAL BUSINESS MACHINES CORP{IBM}/CONTINENTAL AG-STRATEGIC~ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2565111045,"Germany","Europe"
"IBM Corp","3571","2013-10-29","","Manufacture computer products","United States","INTERNATIONAL BUSINESS/READSOFT AB-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2971427045,"United States","Americas"
"ReadSoft AB","7372","2013-10-29","","Dvlp,whl automation software","Sweden","INTERNATIONAL BUSINESS/READSOFT AB-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2971427045,"Sweden","Europe"
"Extreme Networks Inc","7372","2013-11-18","","Develops Ethernet solutions","United States","EXTREME NETWORKS INC/RACKABLE SYSTEMS INC-STRATEGIC ALLIANCE","3669","Supranational","Completed/Signed","Strategic Alliance",NA,2586007045,"United States","Americas"
"Silicon Graphics International","3571","2013-11-18","","Mnfr,whl server,storage prod","United States","EXTREME NETWORKS INC/RACKABLE SYSTEMS INC-STRATEGIC ALLIANCE","3669","Supranational","Completed/Signed","Strategic Alliance",NA,2586007045,"United States","Americas"
"Bharat Light & Power Pvt Ltd","499A","2013-11-19","","Alternative Energy Services","India","BHARAT LIGHT & POWER/IBM CORP-STRATEGIC ALLIANCE","4911","India","Completed/Signed","Strategic Alliance",NA,2585969045,"India","Asia"
"IBM Corp","3571","2013-11-19","","Manufacture computer products","United States","BHARAT LIGHT & POWER/IBM CORP-STRATEGIC ALLIANCE","4911","India","Completed/Signed","Strategic Alliance",NA,2585969045,"United States","Americas"
"YLZ Info Tech Co Ltd","7376","2013-11-29","","Software Publishers","China","YLZ INFORMATION TECHNOLOGY CO LTD/INTERNATIONAL BUSINESS MACHINES~CORP-STRATEGIC ALLIANCE","7372","China","Completed/Signed","Strategic Alliance",NA,2589759045,"China","Asia"
"IBM Corp","3571","2013-11-29","","Manufacture computer products","United States","YLZ INFORMATION TECHNOLOGY CO LTD/INTERNATIONAL BUSINESS MACHINES~CORP-STRATEGIC ALLIANCE","7372","China","Completed/Signed","Strategic Alliance",NA,2589759045,"United States","Americas"
"Dell Inc","3571","2013-12-12","","Manufactures and wholesales computers","United States","DELL INC/DROPBOX INC-STRATEGIC ALLIANCE","7372","United States","Completed/Signed","Strategic Alliance",NA,2955827045,"United States","Americas"
"Dropbox Inc","7375","2013-12-12","","Pvd information retrieval svcs","United States","DELL INC/DROPBOX INC-STRATEGIC ALLIANCE","7372","United States","Completed/Signed","Strategic Alliance",NA,2955827045,"United States","Americas"
"IBM Corp","3571","2014-02-06","","Manufacture computer products","United States","INTERNATIONAL BUSINESS MACHINES/AUTOBUSES DE ORIENTE-STRATEGIC ALLIANCE","7371","United States","Completed/Signed","Strategic Alliance",NA,2626246045,"United States","Americas"
"Autobuses de Oriente ADO SA","4131","2014-02-06","","Interurban and Rural Bus Transportation","Mexico","INTERNATIONAL BUSINESS MACHINES/AUTOBUSES DE ORIENTE-STRATEGIC ALLIANCE","7371","United States","Completed/Signed","Strategic Alliance",NA,2626246045,"Mexico","Americas"
"Hewlett Packard Co","3571","2014-02-14","","Mnfr,whl computer equipment","United States","HEWLETT PACKARD CO/GAGA SPORTS & ENTERTAINMENT INC-STRATEGIC ALLIANCE","7371","United States","Completed/Signed","Strategic Alliance",NA,2635508045,"United States","Americas"
"GAGA Sports & Entertainment","8742","2014-02-14","","Marketing Consulting Services","United States","HEWLETT PACKARD CO/GAGA SPORTS & ENTERTAINMENT INC-STRATEGIC ALLIANCE","7371","United States","Completed/Signed","Strategic Alliance",NA,2635508045,"United States","Americas"
"AT&T Inc","4813","2014-02-18","","Provides telecommunications, media and technology services","United States","AT&T INC/IBM CORP-STRATEGIC ALLIANCE","4813","Supranational","Completed/Signed","Strategic Alliance",NA,2623308045,"United States","Americas"
"IBM Corp","3571","2014-02-18","","Manufacture computer products","United States","AT&T INC/IBM CORP-STRATEGIC ALLIANCE","4813","Supranational","Completed/Signed","Strategic Alliance",NA,2623308045,"United States","Americas"
"Ingram Micro Inc","5045","2014-02-24","","Wholesale computer software products","United States","INGRAM MICRO INC/DELL INC-STRATEGIC ALLIANCE","7374","United States","Completed/Signed","Strategic Alliance",NA,2640398045,"United States","Americas"
"Dell Inc","3571","2014-02-24","","Manufactures and wholesales computers","United States","INGRAM MICRO INC/DELL INC-STRATEGIC ALLIANCE","7374","United States","Completed/Signed","Strategic Alliance",NA,2640398045,"United States","Americas"
"AT&T Inc","4813","2014-02-25","","Provides telecommunications, media and technology services","United States","AT&T INC/IBM CORP-STRATEGIC ALLIANCE","7375","","Completed/Signed","Strategic Alliance",NA,2623320045,"United States","Americas"
"IBM Corp","3571","2014-02-25","","Manufacture computer products","United States","AT&T INC/IBM CORP-STRATEGIC ALLIANCE","7375","","Completed/Signed","Strategic Alliance",NA,2623320045,"United States","Americas"
"Volvo AB","3711","2014-03-03","","Mnfr,whl motor vehicles,parts","Sweden","APPLE COMPUTER INC/VOLVO AB-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2617163045,"Sweden","Europe"
"Apple Inc","3571","2014-03-03","","Electronic Computer Manufacturing","United States","APPLE COMPUTER INC/VOLVO AB-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2617163045,"United States","Americas"
"IBM Corp","3571","2014-03-25","","Manufacture computer products","United States","PITNEY BOWES INC/IBM CORP-STRATEGIC ALLIANCE","3579","Supranational","Completed/Signed","Strategic Alliance",NA,2622195045,"United States","Americas"
"Pitney Bowes Inc","3579","2014-03-25","","Manufacture postage meters","United States","PITNEY BOWES INC/IBM CORP-STRATEGIC ALLIANCE","3579","Supranational","Completed/Signed","Strategic Alliance",NA,2622195045,"United States","Americas"
"Autobuses de Oriente ADO SA","4131","2014-04-07","","Interurban and Rural Bus Transportation","Mexico","IBM CORP/AUTOBUSES DE ORIENTE-STRATEGIC ALLIANCE","7371","Supranational","Completed/Signed","Strategic Alliance",NA,2626334045,"Mexico","Americas"
"IBM Corp","3571","2014-04-07","","Manufacture computer products","United States","IBM CORP/AUTOBUSES DE ORIENTE-STRATEGIC ALLIANCE","7371","Supranational","Completed/Signed","Strategic Alliance",NA,2626334045,"United States","Americas"
"Alpine Labs","3571","2014-04-27","","Multi-media company","United States","ALPINE LABS/BLACKBOXTV-STRATEGIC ALLIANCE","5099","United States","Completed/Signed","Strategic Alliance",NA,2973045045,"United States","Americas"
"BlackBoxTV","4833","2014-04-27","","Own,operate television stations","United States","ALPINE LABS/BLACKBOXTV-STRATEGIC ALLIANCE","5099","United States","Completed/Signed","Strategic Alliance",NA,2973045045,"United States","Americas"
"Mellanox Technologies Ltd","3674","2014-05-05","","Mnfr,whl sinterconnect prod","Israel","MELLANOX TECHNOLOGIES LTD/NCS TECHNOLOGIES INC-STRATEGIC ALLIANCE","7373","Supranational","Completed/Signed","Strategic Alliance",NA,2955869045,"Israel","Asia"
"NCS Technologies Inc","3571","2014-05-05","","Mnfr,whl desktops,notebooks","United States","MELLANOX TECHNOLOGIES LTD/NCS TECHNOLOGIES INC-STRATEGIC ALLIANCE","7373","Supranational","Completed/Signed","Strategic Alliance",NA,2955869045,"United States","Americas"
"Concur Technologies Inc","7372","2014-05-06","","Develop expense mgmt software","United States","CONCUR TECHNOLOGIES INC/IBM CORP-STRATEGIC ALLIANCE","7371","Supranational","Completed/Signed","Strategic Alliance",NA,2640637045,"United States","Americas"
"IBM Corp","3571","2014-05-06","","Manufacture computer products","United States","CONCUR TECHNOLOGIES INC/IBM CORP-STRATEGIC ALLIANCE","7371","Supranational","Completed/Signed","Strategic Alliance",NA,2640637045,"United States","Americas"
"BPC Banking Technologies","6289","2014-05-08","","Provide financial services","Switzerland","BPC BANKING TECHNOLOGIES/HP INC-STRATEGIC ALLIANCE","7373","Switzerland","Completed/Signed","Strategic Alliance",NA,2953681045,"Switzerland","Europe"
"Hewlett Packard Co","3571","2014-05-08","","Mnfr,whl computer equipment","United States","BPC BANKING TECHNOLOGIES/HP INC-STRATEGIC ALLIANCE","7373","Switzerland","Completed/Signed","Strategic Alliance",NA,2953681045,"United States","Americas"
"NiSource Inc","4931","2014-05-13","","Pvd gas transmission services","United States","INTERNATIONAL BUSINESS MACHINES CORP/NISOURCE INC-STRATEGIC ALLIANCE","7371","United States","Completed/Signed","Strategic Alliance",NA,2637087045,"United States","Americas"
"IBM Corp","3571","2014-05-13","","Manufacture computer products","United States","INTERNATIONAL BUSINESS MACHINES CORP/NISOURCE INC-STRATEGIC ALLIANCE","7371","United States","Completed/Signed","Strategic Alliance",NA,2637087045,"United States","Americas"
"Apple Inc","3571","2014-07-03","","Electronic Computer Manufacturing","United States","JARIR MARKETING CO SJSC/APPLE INC-STRATEGIC ALLIANCE","5734","Saudi Arabia","Completed/Signed","Strategic Alliance",NA,2653435045,"United States","Americas"
"Jarir Marketing Co SJSC","5942","2014-07-03","","Own,operate books,electronics,toys stores","Saudi Arabia","JARIR MARKETING CO SJSC/APPLE INC-STRATEGIC ALLIANCE","5734","Saudi Arabia","Completed/Signed","Strategic Alliance",NA,2653435045,"Saudi Arabia","Asia"
"IBM Corp","3571","2014-07-22","","Manufacture computer products","United States","IBM/MONITISE PLC-STRATEGIC ALLIANCE","8741","Supranational","Completed/Signed","Strategic Alliance",NA,2817847045,"United States","Americas"
"Monitise PLC","7372","2014-07-22","","Provide mobile banking software development services","United Kingdom","IBM/MONITISE PLC-STRATEGIC ALLIANCE","8741","Supranational","Completed/Signed","Strategic Alliance",NA,2817847045,"United Kingdom","Europe"
"BR4SS INC","5699","2014-07-30","","Other Clothing Stores","United States","BR4SS INC/THE GO BIG PROJECT-STRATEGIC ALLIANCE","7812","United States","Completed/Signed","Strategic Alliance",NA,2946581045,"United States","Americas"
"The Go Big Project","3571","2014-07-30","","Multi-media company","United States","BR4SS INC/THE GO BIG PROJECT-STRATEGIC ALLIANCE","7812","United States","Completed/Signed","Strategic Alliance",NA,2946581045,"United States","Americas"
"Yamaha Corp","3931","2015-09-25","","Mnfr,whl musical instruments","Japan","YAMAHA CORP/STEINBERG MEDIA TECHNOLOGIES /HARRISON AUDIO LLC-STRATEGIC~ALLIANCE","3571","Supranational","Completed/Signed","Strategic Alliance",NA,2930611045,"Japan","Asia"
"Steinberg Media Technologies","7372","2015-09-25","","Dvlp digital audio software","Germany","YAMAHA CORP/STEINBERG MEDIA TECHNOLOGIES /HARRISON AUDIO LLC-STRATEGIC~ALLIANCE","3571","Supranational","Completed/Signed","Strategic Alliance",NA,2930611045,"Germany","Europe"
"Harrison Audio LLC","3571","2015-09-25","","Multi-media company","United States","YAMAHA CORP/STEINBERG MEDIA TECHNOLOGIES /HARRISON AUDIO LLC-STRATEGIC~ALLIANCE","3571","Supranational","Completed/Signed","Strategic Alliance",NA,2930611045,"United States","Americas"
