"participants_std","company_name","total_applications","granted_patents","employees_last_value","total_assets_eur","total_assets_usd","n_shareholders","n_subsidiaries","n_companies_group","country_iso","is_guo","is_controlled_sub","roa","rd_ratio","long_term_debt","size_classification","tech_specialist_hhi","avg_ipc_scope","grant_success_rate","n_deals","orbis_match_type","patent_match_type","partner_size_diversity","n_partners","avg_partner_size","max_partner_size","min_partner_size","degree","betweenness","closeness","eigenvector","n_total_deals","n_cross_continental_deals","cross_continental_share","n_continents_reached","partner_size_diversity_sq","ln_employees","ln_total_assets","ln_avg_partner_size","ln_long_term_debt","alliance_experience","tech_specialization","ln_subsidiaries","ln_shareholders","roa_clean","rd_ratio_clean"
"BHARTI AIRTEL","Bharti Airtel Ltd",1,1,20310,55572730.1720224,60101890.774589,127,179,181,"IN",1,0,6.524,0,17344467.2415731,"Very large company",1,1,1,1,"matched","exact",0,2,164000,164000,164000,2,0,0.48936170212766,4.76253589855206e-17,1,1,1,1,0,9.91891789019149,17.8332031923662,12.0076278043487,16.6687841801803,1,1,5.19295685089021,4.85203026391962,6.524,0
"BICOM","BiCOM Inc",2,2,40,NA,NA,0,0,0,"US",0,0,NA,NA,NA,"Medium sized company",0.333333333333333,1.5,1,1,"matched","exact",0,1,7,7,7,1,0,1,8.08826831773205e-18,1,0,0,1,0,3.71357206670431,0,2.07944154167984,0,1,0.333333333333333,0,0,0,0
"BIOTELEMETRY","BioTelemetry Inc",0,0,1700,610397.088567929,685720,3,20,650,"US",0,1,4.352,3.187,170119.302908467,"Very large company",0,0,0,1,"matched","unmatched",0,1,164000,164000,164000,1,0,0.479166666666667,3.83138213401312e-17,1,0,0,1,0,7.43897159239586,13.3218666275057,12.0076278043487,12.0442611299236,1,0,3.04452243772342,1.38629436111989,4.352,3.187
"BR4SS","BR4SS INC",0,0,2,NA,NA,0,0,0,"US",0,0,NA,NA,NA,"Small company",0,0,0,1,"matched","unmatched",0,1,2,2,2,1,0,1,6.83347440522675e-18,1,0,0,1,0,1.09861228866811,0,1.09861228866811,0,1,0,0,0,0,0
"BROADCOM","Broadcom Inc",10923,10942,37000,152219314.952763,165645000,4446,256,536,"US",1,0,3.559,18.052,60921727.0958582,"Very large company",0.617655303447609,1.08974593310181,1.00173944886936,1,"matched","fuzzy",0,1,164000,164000,164000,1,0,0.479166666666667,3.41567676539738e-17,1,0,0,1,0,10.5187002182882,18.8408329069868,12.0076278043487,17.9251004522314,1,0.617655303447609,5.54907608489522,8.3999849905107,3.559,18.052
"CARDINALITY","Cardinality Ltd",0,0,14,4537.18466168747,4713.679062011,2,1,84,"GB",0,1,5.211,NA,1509.3638736124,"Large company",0,0,0,1,"matched","unmatched",1.41406109473659,2,55653,111300,6,2,0,0.545454545454545,3.3468447773451e-17,1,1,1,1,1.99956877964765,2.70805020110221,8.4202823568185,10.9269092319283,7.32010587668119,1,0,0.693147180559945,1.09861228866811,5.211,0
"CELONIS","Celonis Inc",0,0,250,NA,NA,0,1,2,"US",1,0,NA,NA,NA,"Very large company",0,0,0,1,"matched","unmatched",1.2910300104543,2,153380,293400,13360,2,0,0.493243243243243,0.125316434604753,1,0,0,1,1.66675848789363,5.52545293913178,0,11.9406803010525,0,1,0,0.693147180559945,0,0,0
"CITY OF PORTLAND, OREGON","City of Portland, Oregon",1,1,7,NA,NA,0,0,0,"US",0,0,NA,NA,NA,"Medium sized company",0,0,1,1,"matched","fuzzy",0,1,293400,293400,293400,1,0,0.48993288590604,0.111361063209539,1,0,0,1,0,2.07944154167984,0,12.5892955530015,0,1,0,0,0,0,0
"CLEVELAND CLINIC FOUNDATION","Cleveland Clinic Foundation",0,0,50,329.083225581839,351,0,0,0,"US",0,0,NA,NA,8438.03142517535,"Medium sized company",0,0,0,1,"matched","unmatched",0,1,293400,293400,293400,1,0,0.48993288590604,0.111361063209539,1,0,0,1,0,3.93182563272433,5.79934482139662,12.5892955530015,9.04062282095425,1,0,0,0,0,0
"COMMVAULT SYSTEM","Commvault Systems Inc",1304,1306,3300,1033995.6676508,1118266,215,35,35,"US",1,0,6.806,14.693,0,"Very large company",0.688125505142752,1.2197549770291,1.00153374233129,1,"matched","exact",0,1,293400,293400,293400,1,0,0.48993288590604,0.111361063209539,1,0,0,1,0,8.10198073185319,13.8489421112705,12.5892955530015,0,1,0.688125505142752,3.58351893845611,5.37527840768417,6.806,14.693
