Company name,Orbis name
"Advantech Co Ltd, Taiwan","ADVANTECH CO., LTD."
"FalconStor Software Inc, United States","FALCONSTOR SOFTWARE, INC."
"Founder Tech Grp Corp Co Ltd, China",-
"Microsoft Corp, United States",MICROSOFT CORP
"Nautilus Hyosung Co Ltd, South Korea",-
"Access Co Ltd, Japan","ACCESS CO., LTD."
"Cipherlab Co Ltd, Taiwan","CIPHERLAB CO.,LTD."
"MCL Technologies, Belgium",-
"Xische FZ LLC, Utd Arab Em",XISCHE FZ-LLC
"MultiSell Technology ME FZCO, Utd Arab Em",MULTISELL TECHNOLOGY ME FZCO
"High Tech Computer Corp, Taiwan",HTC CORPORATION
"Parrot SA, France",PARROT SA
"Alcatel Lucent SA, France",ALCATEL-LUCENT HOLDING S.A.
"Call Management Products Inc, United States","CALL MANAGEMENT PRODUCTS, INC."
"Synnex Tech Intl Corp, Taiwan",-
"STINOVA Ltd, Germany",-
"Lanner Electronics Inc, Taiwan",LANNER ELECTRONICS INC
"Founder Group Corp, China",PEKING UNIVERSITY FOUNDER GROUP CORP
"HTC Corp, Taiwan",HTC CORPORATION
"Vodafone Group Plc, United Kingdom",VODAFONE GROUP PLC
"Crossroads Sys Inc, United States",-
"Fujitsu Frontech Ltd, Japan",FUJITSU FRONTECH LIMITED
"eInfochips Ltd, India",EINFOCHIPS LTD
"Texas Instruments Inc, United States",TEXAS INSTRUMENTS INC
"Virgin Mobile USA Inc, United States","VIRGIN MOBILE USA, INC."
"Nokia Oyj, Finland",NOKIA OYJ
"NETGEAR Inc, United States","NETGEAR, INC."
"HCL Infosystems Ltd, India",HCL INFOSYSTEMS LIMITED
"Lenovo India Pvt Ltd, India",LENOVO INDIA PRIVATE LIMITED
"Anoto Group AB, Sweden",ANOTO GROUP AB
"Digiworks(Aztech Systems), Singapore",
"InterContinental Hotels Group, United Kingdom",INTERCONTINENTAL HOTELS GROUP PLC
"Aaeon Technology Inc, Taiwan",AAEON TECHNOLOGY INC.
"Solid State PLC, United Kingdom",SOLID STATE PLC
"Warner Bros Inc, United States","WARNER BROS. DISCOVERY, INC."
"Huawei Technologies Co Ltd, China","HUAWEI TECHNOLOGIES CO., LTD."
"InfoCommun Media Dvlp, Singapore",-
"Keppel Data Cntrs Hldg Pte Ltd, Singapore",-
"Ascent Solutions Pte Ltd, Singapore",ASCENT SOLUTIONS PTE. LTD.
"Immotion Group PLC, United Kingdom",IMMOTION GROUP PLC
"Beijing Leke Vr Tech Co Ltd, China",-
"Socionext Inc, Japan",SOCIONEXT INC.
"Igel Technology GmbH, Germany",IGEL TECHNOLOGY GMBH
"Trade Network International, United Kingdom",-
"De And E, China",-
"Lumus Ltd, Israel",LUMUS LTD
"China Mobile Ltd, Hong Kong",CHINA MOBILE LIMITED
"Tech Data Corp, United States",TECH DATA CORP
"Enea AB, Sweden",ENEA AB
"CMC Corp, Vietnam",CMC CORPORATION
"Approxima, Denmark",APPROXIMA A/S
"Absolute Software Corp, Canada",ABSOLUTE SOFTWARE CORPORATION
"VAIO Corp, Japan",NO MATCH
"Ekinops SA, France",EKINOPS SA
"NetElastic Systems Inc, United States","NETELASTIC SYSTEMS, INC."
"Aricent Inc, United States",-
"Saint Bitts LLC, United States",-
"Motherboard Express Co, United States",MOTHERBOARD EXPRESS CO
"Green Gold Animation Pvt Ltd, India",-
"Adk Emotions Inc, Japan",ADK EMOTIONS INC.
"Kantar Group Ltd, United Kingdom",THE KANTAR GROUP LIMITED
"Vtion, India",E -VTION PRODUCTION
"Iotecha Corp, United States",IOTECHA CORPORATION
"Zutacore Ltd, United States",-
"Lemma Tech Ltd, India",-
"Lifesight Pte. Ltd., India",LIFESIGHT PTE LIMITED
"Flexiwan Ltd, Israel",FLEXIWAN LTD
"Cyberlink Corp, Taiwan",CYBERLINK CORP.
"QSC AG, Germany",-
"Aequilibrium Software Inc, Canada",-
"Wavetec Fzco, Utd Arab Em",WAVETEC FZCO
"Northern Data AG, Germany",NORTHERN DATA AG
"Fight Network Inc, Canada","FIGHT NETWORK INC, THE"
"Sawa Rights Management FZ LLC, Utd Arab Em",SAWA RIGHTS MANAGEMENT FZ-LLC
"Mindware Hldg Inc, United States",-
"Bango PLC, United Kingdom",BANGO PLC
"In10 Media Pvt Ltd-Epic On, India",-
"Automation Engineering Inc, United States",BASS AUTOMATION ENGINEERING INC
"Wincomm, China",WINCOMM INTERNATIONAL LIMITED
"Viooh Ltd, United Kingdom",VIOOH LIMITED
"Mindware FZ LLC, Utd Arab Em",MINDWARE FZ- LLC
"Buddy Technologies Ltd, Australia",BUDDY TECHNOLOGIES LTD
