SDC_data,ORBIS_data
"Panasonic System, United States",PANASONIC SYSTEM SOLUTIONS CO
"Cytrack Intelligence Sys Pty, Australia",
"Immersion Corp, United States",IMMERSION CORP
"American Leisure Holdings Inc, United States","AMERICAN LEISURE HOLDINGS, INC."
"Thunder Studios Inc, United States","THUNDER BAY STUDIOS, INC."
"Vivotek Inc, Taiwan",VIVOTEK INC.
"Avitru LLC, United States",AVITRU LLC
"Optowiz Co Ltd, South Korea",
"Terraphotonics Sys Corp, United States",
"Aurora World Inc, United States","AURORA WORLD, INC."
"Dr. Seuss Entrps L.P, United States",
"Mclaren Technology Group Ltd, United Kingdom",MCLAREN SERVICES LIMITED
"2XU Pty Ltd, Australia",2XU PTY LTD
"Usa Triathlon, United States",USA TRIATHLON
"Reliance Jio Infocomm Ltd, India",RELIANCE JIO INFOCOMM LIMITED
"Bharti Airtel Ltd, India",BHARTI AIRTEL LIMITED
"GrandPAD Inc, United States",GRANDPAD INC.
"Consumer Cellular Inc, United States","CONSUMER CELLULAR, INC."
"Materialise NV, Belgium",MATERIALISE NV
"Anguleris Technologies LLC, United States",ANGULERIS TECHNOLOGIES LLC
"Commvault Systems Inc, United States","COMMVAULT SYSTEMS, INC."
"Xplore Technologies Corp, United States",XPLORE TECHNOLOGIES CORP.
"United Radio Inc, United States","UNITED RADIO, INC."
"Vector Media Group, United States",VECTOR MEDIA GROUP INC
"Influential, United States",THE INFLUENTIAL NETWORK INC.
"Pixar Inc, United States",PIXAR INC
"Riyadh Municipality, Saudi Arabia",RIYADH MUNICIPALITY
"Newforma Inc, United States","NEWFORMA, INC."
"August House Inc, United States","AUGUST HOUSE, INC."
"Quanta Cloud Tech Inc, United States",
"Anthem Inc, United States","ELEVANCE HEALTH, INC."
"REALTECH AG, Germany",REALTECH AG
"NBA, United States",NBA SERVICES CORP.
"Go 4-D Inc, Canada",
"BBTV, Canada",BBTV HOLDINGS INC.
"Alliance Data Systems Corp, United States",BREAD FINANCIAL HOLDINGS INC
"Dialog Semiconductor PLC, United Kingdom",DIALOG SEMICONDUCTOR PLC
"Software AG, Germany",SOFTWARE AG GERMANY
"Hemp Inc, United States","HEMP, INC."
"2 Manifest Studio Llc, United States",
"ESB, Ireland-Rep",
"Tim Brasil Servicos, Brazil",TIM BRASIL SERVICOS E PARTICIPACOES S.A
"Venturi Formula E Team, Monaco",
"Santander Consumer Bank Sa, Poland",SANTANDER CONSUMER BANK SA
"Samsung Electronics Co Ltd, South Korea","SAMSUNG ELECTRONICS CO.,LTD."
"Exxon Mobil Corp, United States",EXXON MOBIL CORP
"SUNY Polytechnic Inst Albany, United States",
"Evernym Inc, United States","EVERNYM, INC."
"MarketsandMarkets Research, India",MARKETSANDMARKETS RESEARCH PRIVATE LIMITED
"Nutana, Denmark",
"Toward Zero Co, United States",TOWARD ZERO CO.
"Snic Solutions, United States","SNIC SOLUTIONS, INC."
"Qualcomm Inc, United States",QUALCOMM INC
"Regions Financial Corp, United States",REGIONS FINANCIAL CORP
"Google Cloud Platform, United States",GOOGLE LLC
"ITEC Entertainment Corp, United States",ITEC ENTERTAINMENT LLC
"Avecs Corp, South Korea",AVEC CORP
"Avaya Holdings Corp, United States",AVAYA HOLDINGS CORP.
"Qompium Nv, Belgium",QOMPIUM NV
"Bios It Labs, United States",
"Phoenix Software Intl Inc, United States",
"Dhl Global Forwarding Gmbh, Germany",DHL GLOBAL FORWARDING GMBH
